 ,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1253582939,0.0,7,3,-37.8618349,144.90571599999998,-37.8097839,144.9932567,10438,17/1/18,13:19:29,3459.48,14:17:08,11.805204887873682
ID1865598775,0.0,3,2,-37.8127158,144.98161069999998,-37.815059999999995,144.9392759,4368,10/4/18,1:12:06,1132.32,1:30:58,13.69
ID1379163921,0.0,5,2,-37.799333399999995,144.9259476,-37.814805299999996,144.9448602,2850,17/6/18,3:35:00,714.66,3:46:54,16.19
ID1611619014,0.0,4,5,-37.8112366,145.00735930000002,-37.80484570000001,144.9280557,7227,13/4/18,13:15:01,1832.7,13:45:33,8.6
ID1437506696,0.0,9,2,-38.1109156,144.65417250000002,-37.82339,144.94794,43022,26/5/18,11:40:08,10346.28,14:32:34,20.76522902949099
ID5681772242,2.0,2,8,-37.8119931,144.93840480000003,-37.8158343,145.04645,9876,10/2/18,8:04:15,2784.24,8:50:39,242.4
ID1665098957,0.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797,13/3/18,23:25:15,13204.98,3:05:19,27.740899669970922
ID1437480500,0.0,4,6,-37.8087653,144.9961892,-37.7738026,144.98364660000001,8963,17/4/18,0:30:32,2766.66,1:16:38,12.65
ID1526373292,0.0,2,3,-37.8196604,144.9445767,-37.8132223,144.98522480000003,4142,12/1/18,23:23:15,1010.22,23:40:05,15.018101511600712
ID1625915150,0.0,1,7,-37.8104749,144.9643799,-37.8618349,144.90571599999998,8554,15/5/18,21:16:27,2928.72,22:05:15,14.370453848098009
ID3949138010,1.0,3,7,-37.8178978,144.9929822,-37.8618349,144.90571599999998,9958,12/5/18,4:24:12,3236.34,5:18:08,28.3988198005915
ID5270187063,2.0,6,3,-37.7908183,144.9857929,-37.819311799999994,145.0065121,4870,12/5/18,22:53:31,1245.18,23:14:16,137.24
ID1395723886,0.0,2,6,-37.817842799999994,144.9469395,-37.773845,144.9836895,6611,17/6/18,3:13:04,1483.92,3:37:47,15.687493197597451
ID5247125465,2.0,7,4,-37.8618349,144.90571599999998,-37.8038025,145.00569819999998,12055,9/2/18,14:27:03,3839.28,15:31:02,27.9446526511746
ID1627365782,0.0,8,3,-37.807202000000004,145.0266373,-37.818159200000004,144.97590259999998,5855,26/6/18,23:16:48,1449.6,23:40:57,12.78983969462422
ID1217267147,0.0,7,3,-37.8618349,144.90571599999998,-37.8159843,144.97220359999997,8195,13/1/18,19:16:36,2818.5,20:03:34,14.4
ID3738476048,1.0,6,4,-37.773845,144.9836895,-37.816306700000005,145.01350380000002,8250,28/5/18,20:40:48,1858.5,21:11:46,16.37
ID3377283372,1.0,9,4,-38.1109156,144.65417250000002,-37.800234100000004,144.9970068,47350,23/4/18,18:37:56,11475.06,21:49:11,63.82
ID1996270353,0.0,8,3,-37.8158343,145.04645,-37.8195726,145.0082315,4191,8/1/18,13:33:23,1353.78,13:55:56,9.58
ID1653567886,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151,3/7/18,15:35:14,4917.48,16:57:11,13.06
ID1549607154,0.0,1,7,-37.8251275,144.95685269999998,-37.8618349,144.90571599999998,8095,3/3/18,8:46:10,2787.6,9:32:37,10.538554905913637
ID1662873481,0.0,1,3,-37.80390429999999,144.9368881,-37.8225971,145.0031343,7065,25/6/18,18:37:49,1777.08,19:07:26,10.84
ID3912991085,1.0,4,9,-37.8031629,145.0091497,-38.1109156,144.65417250000002,48173,11/4/18,2:02:54,11668.38,5:17:22,64.41016188245118
